transaction_id,timestamp,sender_msisdn,receiver_msisdn,amount,currency,transaction_type,operator,status,region,fee,transaction_type_label,txn_date,txn_hour,txn_day_of_week,txn_month,txn_quarter,is_weekend,amount_bucket,is_high_value,time_since_last_txn_sec,is_rapid_succession,total_debit
TXN00004094,2024-01-03 20:13:00,0240044707,0554750730,275.97,GHS,DEP,MTN,SUCCESS,ASHANTI,3.67,Deposit,2024-01-03,20,Wednesday,1,1,False,Medium (200-500),False,,False,279.64
TXN00007928,2024-01-06 12:07:00,0240046438,0556127500,52.69,GHS,AIRTIME,MTN,SUCCESS,ASHANTI,0.36,Airtime Top-Up,2024-01-06,12,Saturday,1,1,True,Small (50-200),False,,False,53.05
TXN00005932,2024-01-05 02:51:00,0240046726,0556693128,17.02,GHS,P2P,MTN,SUCCESS,BRONG-AHAFO,0.16,Peer to Peer Transfer,2024-01-05,2,Friday,1,1,False,Micro (<50),False,,False,17.18
TXN00009240,2024-01-07 09:59:00,0240047937,0556337054,324.9,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,3.09,Peer to Peer Transfer,2024-01-07,9,Sunday,1,1,True,Medium (200-500),False,,False,327.99
TXN00000659,2024-01-01 10:58:00,0240048154,0556916159,364.12,GHS,P2P,MTN,SUCCESS,BRONG-AHAFO,4.37,Peer to Peer Transfer,2024-01-01,10,Monday,1,1,False,Medium (200-500),False,,False,368.49
TXN00002367,2024-01-02 15:26:00,0240048951,0556350372,41.7,GHS,WDR,MTN,SUCCESS,GREATER ACCRA,0.48,Withdrawal,2024-01-02,15,Tuesday,1,1,False,Micro (<50),False,,False,42.18
TXN00002104,2024-01-02 11:03:00,0240050121,0557553723,66.39,GHS,AIRTIME,AIRTELTIGO,SUCCESS,ASHANTI,0.97,Airtime Top-Up,2024-01-02,11,Tuesday,1,1,False,Small (50-200),False,,False,67.36
TXN00009186,2024-01-07 09:05:00,0240051419,0552884564,63.56,GHS,MBP,AIRTELTIGO,SUCCESS,BRONG-AHAFO,0.56,Merchant Bill Payment,2024-01-07,9,Sunday,1,1,True,Small (50-200),False,,False,64.12
TXN00008271,2024-01-06 17:50:00,0240052452,0554984116,8.61,GHS,DEP,VODAFONE,SUCCESS,ASHANTI,0.11,Deposit,2024-01-06,17,Saturday,1,1,True,Micro (<50),False,,False,8.72
TXN00001572,2024-01-02 02:11:00,0240053081,0556693862,22.74,GHS,WDR,MTN,SUCCESS,BRONG-AHAFO,0.24,Withdrawal,2024-01-02,2,Tuesday,1,1,False,Micro (<50),False,,False,22.98
TXN00006097,2024-01-05 05:36:00,0240054411,0557986574,25.19,GHS,MBP,AIRTELTIGO,SUCCESS,ASHANTI,0.37,Merchant Bill Payment,2024-01-05,5,Friday,1,1,False,Micro (<50),False,,False,25.56
TXN00000168,2024-01-01 02:47:00,0240055378,0552396967,17.88,USD,MBP,VODAFONE,SUCCESS,WESTERN,0.13,Merchant Bill Payment,2024-01-01,2,Monday,1,1,False,Micro (<50),False,,False,18.01
TXN00006972,2024-01-05 20:11:00,0240055586,0556105555,446.99,GHS,MBP,AIRTELTIGO,SUCCESS,WESTERN,3.75,Merchant Bill Payment,2024-01-05,20,Friday,1,1,False,Medium (200-500),False,,False,450.74
TXN00008636,2024-01-06 23:55:00,0240056840,0557309386,2093.45,GHS,DEP,MTN,PENDING,ASHANTI,15.73,Deposit,2024-01-06,23,Saturday,1,1,True,High Value (1k+),False,,False,2109.18
TXN00003166,2024-01-03 04:45:00,0240057850,0551178929,3.51,GHS,AIRTIME,MTN,SUCCESS,EASTERN,0.02,Airtime Top-Up,2024-01-03,4,Wednesday,1,1,False,Micro (<50),False,,False,3.53
TXN00009917,2024-01-07 21:16:00,0240058061,0550465722,17.57,GHS,WDR,MTN,SUCCESS,GREATER ACCRA,0.26,Withdrawal,2024-01-07,21,Sunday,1,1,True,Micro (<50),False,,False,17.83
TXN00007294,2024-01-06 01:33:00,0240059797,0554320446,44.28,GHS,P2P,MTN,SUCCESS,EASTERN,0.35,Peer to Peer Transfer,2024-01-06,1,Saturday,1,1,True,Micro (<50),False,,False,44.63
TXN00004262,2024-01-03 23:01:00,0240060579,0553384407,58.36,GHS,WDR,MTN,SUCCESS,EASTERN,0.74,Withdrawal,2024-01-03,23,Wednesday,1,1,False,Small (50-200),False,,False,59.1
TXN00002275,2024-01-02 13:54:00,0240062474,0552178552,3497.19,GHS,INTL,MTN,SUCCESS,ASHANTI,40.36,International Transfer,2024-01-02,13,Tuesday,1,1,False,High Value (1k+),True,,False,3537.55
TXN00003314,2024-01-03 07:13:00,0240064444,0558399771,32.18,GHS,WDR,MTN,SUCCESS,ASHANTI,0.19,Withdrawal,2024-01-03,7,Wednesday,1,1,False,Micro (<50),False,,False,32.37
TXN00003093,2024-01-03 03:32:00,0240065832,0556786192,9.32,GHS,WDR,AIRTELTIGO,SUCCESS,ASHANTI,0.06,Withdrawal,2024-01-03,3,Wednesday,1,1,False,Micro (<50),False,,False,9.38
TXN00007614,2024-01-06 06:53:00,0240065840,0558209152,19.08,GHS,WDR,MTN,SUCCESS,GREATER ACCRA,0.16,Withdrawal,2024-01-06,6,Saturday,1,1,True,Micro (<50),False,,False,19.24
TXN00006894,2024-01-05 18:53:00,0240066841,0551500429,41.67,GHS,MBP,MTN,SUCCESS,ASHANTI,0.35,Merchant Bill Payment,2024-01-05,18,Friday,1,1,False,Micro (<50),False,,False,42.02
TXN00004267,2024-01-03 23:06:00,0240068110,0558505747,3545.43,GHS,MBP,AIRTELTIGO,SUCCESS,GREATER ACCRA,22.82,Merchant Bill Payment,2024-01-03,23,Wednesday,1,1,False,High Value (1k+),True,,False,3568.25
TXN00007819,2024-01-06 10:18:00,0240068938,0559356072,106.84,GHS,WDR,MTN,SUCCESS,WESTERN,0.57,Withdrawal,2024-01-06,10,Saturday,1,1,True,Small (50-200),False,,False,107.41
TXN00008268,2024-01-06 17:47:00,0240069675,0553403023,26.2,GHS,P2P,VODAFONE,SUCCESS,NORTHERN,0.16,Peer to Peer Transfer,2024-01-06,17,Saturday,1,1,True,Micro (<50),False,,False,26.36
TXN00002778,2024-01-02 22:17:00,0240070476,0552169636,46.3,GHS,P2P,AIRTELTIGO,SUCCESS,ASHANTI,0.37,Peer to Peer Transfer,2024-01-02,22,Tuesday,1,1,False,Micro (<50),False,,False,46.67
TXN00005395,2024-01-04 17:54:00,0240070891,0558013619,370.3,GHS,P2P,MTN,SUCCESS,ASHANTI,5.01,Peer to Peer Transfer,2024-01-04,17,Thursday,1,1,False,Medium (200-500),False,,False,375.31
TXN00000811,2024-01-01 13:30:00,0240071897,0558663138,371.93,GHS,P2P,MTN,SUCCESS,EASTERN,4.04,Peer to Peer Transfer,2024-01-01,13,Monday,1,1,False,Medium (200-500),False,,False,375.97
TXN00003009,2024-01-03 02:08:00,0240073852,0551008469,192.53,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,2.5,Peer to Peer Transfer,2024-01-03,2,Wednesday,1,1,False,Small (50-200),False,,False,195.03
TXN00004885,2024-01-04 09:24:00,0240073974,0550337789,21.57,GHS,P2P,AIRTELTIGO,SUCCESS,ASHANTI,0.13,Peer to Peer Transfer,2024-01-04,9,Thursday,1,1,False,Micro (<50),False,,False,21.7
TXN00001714,2024-01-02 04:33:00,0240076051,0551274196,21.03,GHS,DEP,MTN,SUCCESS,ASHANTI,0.11,Deposit,2024-01-02,4,Tuesday,1,1,False,Micro (<50),False,,False,21.14
TXN00006242,2024-01-05 08:01:00,0240076074,0555313581,30.61,GHS,MBP,AIRTELTIGO,SUCCESS,BRONG-AHAFO,0.26,Merchant Bill Payment,2024-01-05,8,Friday,1,1,False,Micro (<50),False,,False,30.87
TXN00007233,2024-01-06 00:32:00,0240076852,0550827662,36.71,GHS,MBP,MTN,PENDING,GREATER ACCRA,0.32,Merchant Bill Payment,2024-01-06,0,Saturday,1,1,True,Micro (<50),False,,False,37.03
TXN00004434,2024-01-04 01:53:00,0240078121,0559094974,277.74,GHS,P2P,MTN,PENDING,ASHANTI,4.05,Peer to Peer Transfer,2024-01-04,1,Thursday,1,1,False,Medium (200-500),False,,False,281.79
TXN00007277,2024-01-06 01:16:00,0240079473,0551564882,26.27,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.32,Peer to Peer Transfer,2024-01-06,1,Saturday,1,1,True,Micro (<50),False,,False,26.59
TXN00008362,2024-01-06 19:21:00,0240080922,0554631609,31.88,GHS,P2P,MTN,SUCCESS,GREATER ACCRA,0.19,Peer to Peer Transfer,2024-01-06,19,Saturday,1,1,True,Micro (<50),False,,False,32.07
TXN00001555,2024-01-02 01:54:00,0240083246,0552221249,30.74,GHS,P2P,MTN,SUCCESS,GREATER ACCRA,0.18,Peer to Peer Transfer,2024-01-02,1,Tuesday,1,1,False,Micro (<50),False,,False,30.92
TXN00000859,2024-01-01 14:18:00,0240083735,0558770147,40.89,GHS,P2P,AIRTELTIGO,FAILED,BRONG-AHAFO,0.27,Peer to Peer Transfer,2024-01-01,14,Monday,1,1,False,Micro (<50),False,,False,41.16
TXN00005145,2024-01-04 13:44:00,0240086848,0557794176,35.25,GHS,P2P,MTN,SUCCESS,ASHANTI,0.31,Peer to Peer Transfer,2024-01-04,13,Thursday,1,1,False,Micro (<50),False,,False,35.56
TXN00009970,2024-01-07 22:09:00,0240088528,0554252860,35.09,GHS,MBP,VODAFONE,SUCCESS,EASTERN,0.37,Merchant Bill Payment,2024-01-07,22,Sunday,1,1,True,Micro (<50),False,,False,35.46
TXN00009274,2024-01-07 10:33:00,0240088738,0555157924,12.48,GHS,DEP,MTN,SUCCESS,NORTHERN,0.08,Deposit,2024-01-07,10,Sunday,1,1,True,Micro (<50),False,,False,12.56
TXN00009788,2024-01-07 19:07:00,0240088878,0558898641,4.54,GHS,MBP,VODAFONE,SUCCESS,WESTERN,0.05,Merchant Bill Payment,2024-01-07,19,Sunday,1,1,True,Micro (<50),False,,False,4.59
TXN00004429,2024-01-04 01:48:00,0240090660,0556767624,27.78,GHS,P2P,MTN,SUCCESS,ASHANTI,0.38,Peer to Peer Transfer,2024-01-04,1,Thursday,1,1,False,Micro (<50),False,,False,28.16
TXN00006971,2024-01-05 20:10:00,0240093063,0556550591,15.44,GHS,MBP,MTN,SUCCESS,EASTERN,0.21,Merchant Bill Payment,2024-01-05,20,Friday,1,1,False,Micro (<50),False,,False,15.65
TXN00004149,2024-01-03 21:08:00,0240094069,0555927910,483.77,USD,WDR,MTN,SUCCESS,GREATER ACCRA,4.76,Withdrawal,2024-01-03,21,Wednesday,1,1,False,Medium (200-500),False,,False,488.53
TXN00002963,2024-01-03 01:22:00,0240097563,0556546573,41.37,GHS,DEP,MTN,SUCCESS,BRONG-AHAFO,0.23,Deposit,2024-01-03,1,Wednesday,1,1,False,Micro (<50),False,,False,41.6
TXN00005780,2024-01-05 00:19:00,0240097966,0551445227,49.84,GHS,P2P,VODAFONE,SUCCESS,EASTERN,0.39,Peer to Peer Transfer,2024-01-05,0,Friday,1,1,False,Micro (<50),False,,False,50.23
TXN00006771,2024-01-05 16:50:00,0240100620,0559697293,42.94,GHS,P2P,MTN,SUCCESS,ASHANTI,0.52,Peer to Peer Transfer,2024-01-05,16,Friday,1,1,False,Micro (<50),False,,False,43.46
TXN00003343,2024-01-03 07:42:00,0240102309,0558029738,2835.07,GHS,DEP,MTN,SUCCESS,EASTERN,16.14,Deposit,2024-01-03,7,Wednesday,1,1,False,High Value (1k+),True,,False,2851.21
TXN00008787,2024-01-07 02:26:00,0240103836,0559695691,8.06,GHS,P2P,VODAFONE,SUCCESS,GREATER ACCRA,0.05,Peer to Peer Transfer,2024-01-07,2,Sunday,1,1,True,Micro (<50),False,,False,8.11
TXN00009701,2024-01-07 17:40:00,0240103873,0554158639,395.57,GHS,DEP,MTN,SUCCESS,BRONG-AHAFO,3.8,Deposit,2024-01-07,17,Sunday,1,1,True,Medium (200-500),False,,False,399.37
TXN00007895,2024-01-06 11:34:00,0240107860,0552219126,8.27,GHS,DEP,MTN,SUCCESS,ASHANTI,0.11,Deposit,2024-01-06,11,Saturday,1,1,True,Micro (<50),False,,False,8.38
TXN00008560,2024-01-06 22:39:00,0240110069,0552170787,353.77,GHS,MBP,AIRTELTIGO,SUCCESS,ASHANTI,4.87,Merchant Bill Payment,2024-01-06,22,Saturday,1,1,True,Medium (200-500),False,,False,358.64
TXN00002079,2024-01-02 10:38:00,0240110258,0552260516,4164.85,GHS,WDR,VODAFONE,SUCCESS,BRONG-AHAFO,58.51,Withdrawal,2024-01-02,10,Tuesday,1,1,False,High Value (1k+),True,,False,4223.36
TXN00001736,2024-01-02 04:55:00,0240110729,0556632337,423.42,GHS,AIRTIME,VODAFONE,SUCCESS,ASHANTI,3.1,Airtime Top-Up,2024-01-02,4,Tuesday,1,1,False,Medium (200-500),False,,False,426.52
TXN00009667,2024-01-07 17:06:00,0240110800,0559195182,24.35,GHS,WDR,AIRTELTIGO,SUCCESS,BRONG-AHAFO,0.25,Withdrawal,2024-01-07,17,Sunday,1,1,True,Micro (<50),False,,False,24.6
TXN00004004,2024-01-03 18:43:00,0240111165,0552864477,24.86,GHS,DEP,MTN,SUCCESS,GREATER ACCRA,0.14,Deposit,2024-01-03,18,Wednesday,1,1,False,Micro (<50),False,,False,25.0
TXN00009870,2024-01-07 20:29:00,0240111529,0554592254,31.4,GHS,WDR,MTN,SUCCESS,GREATER ACCRA,0.2,Withdrawal,2024-01-07,20,Sunday,1,1,True,Micro (<50),False,,False,31.6
TXN00007336,2024-01-06 02:15:00,0240112452,0559693439,49.49,GHS,P2P,AIRTELTIGO,SUCCESS,EASTERN,0.41,Peer to Peer Transfer,2024-01-06,2,Saturday,1,1,True,Micro (<50),False,,False,49.9
TXN00002636,2024-01-02 19:55:00,0240112940,0555728231,307.05,GHS,P2P,MTN,FAILED,NORTHERN,3.39,Peer to Peer Transfer,2024-01-02,19,Tuesday,1,1,False,Medium (200-500),False,,False,310.44
TXN00006479,2024-01-05 11:58:00,0240114172,0555642091,21.79,GHS,P2P,VODAFONE,SUCCESS,BRONG-AHAFO,0.12,Peer to Peer Transfer,2024-01-05,11,Friday,1,1,False,Micro (<50),False,,False,21.91
TXN00009102,2024-01-07 07:41:00,0240115263,0559758488,3873.62,GHS,MBP,VODAFONE,SUCCESS,WESTERN,32.59,Merchant Bill Payment,2024-01-07,7,Sunday,1,1,True,High Value (1k+),True,,False,3906.21
TXN00000792,2024-01-01 13:11:00,0240116550,0552944860,17.61,GHS,P2P,VODAFONE,SUCCESS,ASHANTI,0.22,Peer to Peer Transfer,2024-01-01,13,Monday,1,1,False,Micro (<50),False,,False,17.83
TXN00009282,2024-01-07 10:41:00,0240116700,0552629199,62.33,GHS,P2P,MTN,SUCCESS,EASTERN,0.76,Peer to Peer Transfer,2024-01-07,10,Sunday,1,1,True,Small (50-200),False,,False,63.09
TXN00008139,2024-01-06 15:38:00,0240121126,0553297770,12.16,GHS,WDR,MTN,SUCCESS,WESTERN,0.12,Withdrawal,2024-01-06,15,Saturday,1,1,True,Micro (<50),False,,False,12.28
TXN00009630,2024-01-07 16:29:00,0240122021,0556208916,32.97,GHS,AIRTIME,VODAFONE,SUCCESS,EASTERN,0.46,Airtime Top-Up,2024-01-07,16,Sunday,1,1,True,Micro (<50),False,,False,33.43
